race|sex|LSAT|UGPA|ZFYA|race_nonwhite|race_simpler
White|Female|34.0|3.6|0.32|White|White
White|Male|44.0|3.1|-1.37|White|White
White|Male|42.0|3.2|0.08|White|White
White|Male|48.0|3.3|2.18|White|White
White|Male|40.0|3.3|-0.24|White|White
White|Male|41.0|3.2|0.9|White|White
White|Male|36.0|3.4|-0.17|White|White
White|Male|37.0|3.0|-0.63|White|White
White|Female|36.0|3.2|0.71|White|White
White|Female|39.0|3.1|-0.42|White|White
White|Female|35.0|3.8|-0.45|White|White
White|Male|42.0|3.4|1.29|White|White
White|Male|34.0|3.1|-0.74|White|White
White|Male|39.0|3.2|0.01|White|White
White|Male|35.5|3.5|0.65|White|White
White|Male|42.0|3.3|0.05|White|White
White|Male|37.0|3.1|-0.85|White|White
White|Female|40.0|3.4|0.54|White|White
White|Female|37.0|3.6|0.19|White|White
White|Male|46.0|2.9|1.22|White|White
White|Male|37.0|3.6|-0.67|White|White
Black|Female|38.0|2.9|0.15|NonWhite|Black
White|Female|35.0|3.7|-1.09|White|White
White|Female|40.0|3.3|-0.81|White|White
White|Male|40.0|3.4|0.22|White|White
White|Female|39.0|3.2|-0.28|White|White
White|Female|40.0|3.2|0.29|White|White
White|Male|35.0|3.4|0.26|White|White
White|Male|38.0|3.8|1.26|White|White
White|Male|40.0|3.1|0.12|White|White
White|Male|38.0|3.1|-0.17|White|White
White|Female|36.0|2.9|-1.52|White|White
White|Female|35.0|3.3|0.49|White|White
White|Male|37.0|3.4|1.22|White|White
White|Male|34.5|3.3|0.05|White|White
White|Male|36.0|3.1|-0.1|White|White
White|Male|36.0|3.5|-0.35|White|White
Black|Female|32.0|2.8|-2.31|NonWhite|Black
White|Male|35.0|3.6|0.36|White|White
Asian|Female|35.0|3.7|0.76|NonWhite|Asian
White|Female|35.0|3.2|0.33|White|White
White|Male|34.0|3.5|-0.52|White|White
White|Male|36.0|3.4|-0.28|White|White
White|Male|37.0|3.3|0.41|White|White
White|Female|37.0|3.2|-0.42|White|White
White|Female|40.0|3.5|0.69|White|White
White|Female|38.0|3.4|-0.35|White|White
White|Female|36.0|3.0|-0.18|White|White
Black|Female|33.0|2.6|-0.28|NonWhite|Black
White|Male|34.0|3.5|-0.42|White|White
White|Male|39.0|3.4|-0.2|White|White
White|Female|41.0|3.7|1.86|White|White
White|Male|39.0|3.0|-0.81|White|White
White|Male|36.0|3.3|-0.1|White|White
White|Male|38.0|3.3|-1.04|White|White
White|Female|39.0|3.0|-0.68|White|White
White|Female|35.0|3.3|-0.31|White|White
White|Female|37.0|3.1|-0.17|White|White
White|Female|39.0|3.4|0.94|White|White
White|Female|38.0|3.4|1.97|White|White
White|Female|40.0|3.3|1.33|White|White
White|Male|36.0|3.5|0.9|White|White
White|Female|36.0|3.4|-0.23|White|White
White|Female|39.0|2.8|1.36|White|White
White|Female|35.0|3.8|1.26|White|White
White|Male|38.0|3.5|1.33|White|White
White|Female|44.0|3.3|-0.77|White|White
White|Female|37.0|3.4|0.47|White|White
White|Female|41.0|3.0|-0.06|White|White
Asian|Female|33.0|3.5|0.01|NonWhite|Asian
White|Male|40.0|2.9|-0.13|White|White
White|Male|35.0|3.2|-0.7|White|White
White|Male|36.0|3.2|-0.56|White|White
White|Female|35.0|3.5|0.76|White|White
White|Female|36.0|3.6|0.51|White|White
White|Female|37.0|3.1|-0.99|White|White
White|Male|35.0|3.3|0.76|White|White
White|Female|35.0|3.5|-0.85|White|White
White|Male|35.0|3.1|-0.06|White|White
White|Female|39.0|2.6|1.22|White|White
White|Male|35.0|2.9|-0.86|White|White
White|Female|37.0|3.7|1.56|White|White
White|Male|39.0|3.1|0.19|White|White
White|Male|44.0|3.5|0.35|White|White
White|Male|44.0|3.8|0.21|White|White
White|Male|34.0|3.6|-0.03|White|White
White|Male|39.0|3.6|-0.83|White|White
White|Male|46.0|3.5|-0.93|White|White
White|Male|40.0|3.5|0.57|White|White
White|Male|42.0|3.7|0.4|White|White
White|Male|41.0|3.4|-0.24|White|White
White|Male|46.0|3.0|-1.21|White|White
White|Male|43.0|3.3|0.21|White|White
White|Male|43.0|3.9|0.47|White|White
White|Male|41.0|3.2|-0.17|White|White
White|Female|45.0|3.2|0.14|White|White
White|Male|40.0|3.6|-0.76|White|White
White|Male|48.0|3.5|2.08|White|White
Asian|Female|37.0|3.8|-2.66|NonWhite|Asian
White|Female|39.0|3.7|2.08|White|White
White|Male|39.0|3.6|0.9|White|White
White|Male|47.0|2.9|0.35|White|White
White|Female|45.0|2.7|0.73|White|White
Black|Male|32.0|2.6|0.78|NonWhite|Black
White|Male|41.0|3.7|1.54|White|White
White|Male|39.0|4.0|1.06|White|White
White|Male|42.0|4.0|-0.07|White|White
White|Male|44.0|3.4|0.09|White|White
White|Male|44.0|3.1|-0.67|White|White
White|Male|44.0|3.2|0.61|White|White
White|Male|46.0|3.7|1.44|White|White
Mexican|Female|32.0|3.3|-0.45|NonWhite|Latino
White|Male|43.0|3.4|-1.14|White|White
White|Male|41.0|3.4|-0.67|White|White
White|Male|48.0|3.0|0.42|White|White
White|Male|36.0|3.9|0.57|White|White
White|Female|37.5|3.3|0.52|White|White
White|Male|38.5|3.5|0.21|White|White
White|Male|37.0|3.7|-1.21|White|White
Black|Male|32.0|2.4|-1.76|NonWhite|Black
White|Male|43.0|3.8|0.64|White|White
Black|Male|38.0|2.7|0.47|NonWhite|Black
Black|Male|42.0|2.7|-0.38|NonWhite|Black
Black|Female|36.0|2.7|-1.21|NonWhite|Black
White|Male|43.0|3.3|-0.55|White|White
White|Female|37.0|4.0|0.47|White|White
White|Male|41.0|3.6|-1.59|White|White
White|Male|46.0|3.2|-0.12|White|White
Other|Male|46.0|3.0|1.8|NonWhite|Other
White|Male|44.0|3.5|0.35|White|White
White|Female|38.0|3.9|1.44|White|White
White|Male|41.0|3.5|0.02|White|White
White|Female|44.0|3.5|-0.24|White|White
White|Male|40.5|3.4|-1.17|White|White
White|Female|42.0|3.7|0.78|White|White
White|Male|42.0|3.6|1.06|White|White
White|Male|41.0|3.5|-0.83|White|White
White|Female|40.0|3.5|-0.67|White|White
White|Female|41.0|3.4|0.21|White|White
White|Male|45.0|3.7|1.8|White|White
White|Female|40.0|3.2|-1.76|White|White
White|Male|41.0|3.1|1.02|White|White
White|Male|39.0|4.0|1.59|White|White
White|Male|39.0|3.0|-0.38|White|White
White|Male|44.0|3.7|-1.26|White|White
Puertorican|Female|38.0|4.0|-0.03|NonWhite|Latino
Black|Male|28.0|3.0|-1.85|NonWhite|Black
White|Male|46.0|3.0|0.4|White|White
White|Male|42.0|3.9|1.06|White|White
White|Female|41.0|3.3|-0.67|White|White
White|Male|42.0|3.7|-1.05|White|White
White|Male|44.0|3.4|-0.45|White|White
White|Male|46.0|3.1|-0.17|White|White
White|Male|41.0|3.4|0.02|White|White
White|Male|45.0|3.1|-0.57|White|White
Black|Female|37.0|2.5|-1.17|NonWhite|Black
White|Male|44.0|3.4|0.09|White|White
White|Female|39.5|4.0|1.96|White|White
White|Female|41.0|3.5|1.44|White|White
White|Female|39.0|3.5|0.26|White|White
White|Male|42.0|3.1|0.9|White|White
White|Male|39.0|3.6|-0.57|White|White
White|Male|47.0|2.9|1.59|White|White
White|Male|42.5|3.2|-0.12|White|White
White|Female|38.0|3.9|0.19|White|White
White|Female|35.5|3.4|0.55|White|White
Black|Female|21.0|3.9|-1.15|NonWhite|Black
White|Male|42.0|2.7|0.71|White|White
White|Female|31.0|3.3|-1.28|White|White
Black|Male|25.5|3.0|-2.11|NonWhite|Black
White|Female|39.0|3.2|-0.71|White|White
White|Female|34.0|3.5|-0.93|White|White
White|Female|38.0|3.7|-0.45|White|White
White|Male|37.0|3.6|-0.31|White|White
White|Male|40.0|2.8|1.46|White|White
White|Male|36.0|3.1|1.22|White|White
White|Male|42.0|3.2|0.58|White|White
White|Male|37.0|3.8|0.55|White|White
White|Male|38.0|3.7|-0.93|White|White
White|Female|38.0|3.5|0.09|White|White
White|Male|36.0|2.8|1.57|White|White
White|Female|39.0|3.9|0.07|White|White
White|Female|38.0|3.0|2.35|White|White
Black|Male|29.0|3.1|-1.55|NonWhite|Black
Black|Male|24.0|2.8|-1.84|NonWhite|Black
White|Male|34.0|3.3|0.79|White|White
White|Male|39.0|3.6|-0.61|White|White
White|Male|37.0|3.4|0.85|White|White
White|Male|35.0|3.9|1.01|White|White
White|Male|38.0|3.2|0.66|White|White
Mexican|Male|36.0|2.8|1.09|NonWhite|Latino
White|Female|34.0|3.8|0.17|White|White
White|Male|40.0|3.2|0.55|White|White
White|Male|36.0|3.6|-0.31|White|White
White|Female|37.0|3.7|1.09|White|White
White|Female|38.0|2.9|-0.1|White|White
White|Female|37.0|3.2|-0.93|White|White
White|Male|40.0|3.4|0.15|White|White
White|Male|44.0|2.7|1.11|White|White
White|Female|35.0|3.1|0.31|White|White
White|Female|34.0|2.9|-1.28|White|White
White|Female|39.0|3.6|-0.31|White|White
White|Female|33.0|4.0|-0.2|White|White
White|Male|40.0|4.0|0.95|White|White
White|Male|37.0|2.2|0.12|White|White
White|Male|38.0|3.1|0.07|White|White
White|Female|40.0|3.1|-0.71|White|White
White|Female|37.0|3.5|0.01|White|White
White|Male|34.0|3.3|-0.39|White|White
White|Female|37.0|3.8|1.6|White|White
White|Male|35.0|4.0|0.28|White|White
Black|Female|24.0|2.6|-1.6|NonWhite|Black
White|Female|37.0|4.0|0.09|White|White
Black|Female|32.0|2.1|-1.12|NonWhite|Black
White|Male|40.0|3.4|0.01|White|White
White|Male|40.0|3.1|0.52|White|White
White|Male|40.0|3.7|0.2|White|White
White|Male|33.0|3.5|0.66|White|White
White|Male|37.0|3.7|-0.18|White|White
White|Female|41.0|3.7|0.31|White|White
White|Male|34.0|3.3|0.28|White|White
White|Male|39.0|3.3|-0.04|White|White
White|Female|37.0|3.4|0.47|White|White
White|Male|41.0|3.3|0.98|White|White
White|Female|36.0|3.9|1.92|White|White
White|Female|34.0|3.9|0.98|White|White
White|Male|32.0|3.9|1.14|White|White
White|Male|40.0|3.8|1.52|White|White
White|Male|37.0|3.7|0.33|White|White
White|Female|41.0|2.9|0.08|White|White
White|Female|36.0|3.4|0.25|White|White
White|Male|37.0|3.6|-1.31|White|White
White|Female|34.0|3.2|-1.08|White|White
White|Male|35.0|3.3|-0.09|White|White
White|Male|41.0|3.7|-0.22|White|White
White|Female|41.0|3.1|-0.22|White|White
White|Male|39.0|3.7|1.19|White|White
White|Female|40.0|3.3|-1.17|White|White
White|Female|36.0|3.3|-1.42|White|White
White|Male|35.0|3.4|-1.31|White|White
White|Female|42.0|3.9|1.47|White|White
White|Male|40.0|3.7|0.82|White|White
White|Female|35.0|3.2|-1.1|White|White
White|Male|36.0|3.3|-0.22|White|White
White|Male|39.0|3.3|-0.62|White|White
White|Male|35.0|3.6|-0.73|White|White
White|Male|36.0|3.6|1.05|White|White
White|Female|35.0|3.4|-0.47|White|White
White|Male|40.0|3.8|1.45|White|White
White|Female|38.0|3.3|1.05|White|White
White|Female|36.0|3.7|-0.15|White|White
White|Female|37.0|2.9|-1.13|White|White
White|Female|40.0|3.7|0.42|White|White
White|Female|36.0|3.7|1.66|White|White
White|Male|36.0|3.4|0.41|White|White
White|Male|43.0|3.5|1.36|White|White
White|Female|47.0|4.0|1.83|White|White
Black|Female|28.0|2.8|-1.31|NonWhite|Black
Black|Female|26.0|3.0|-1.02|NonWhite|Black
White|Female|41.0|3.6|0.75|White|White
White|Female|34.0|3.4|-0.43|White|White
White|Female|36.0|3.1|-0.28|White|White
White|Male|33.0|3.9|-0.13|White|White
White|Male|39.0|3.3|-0.91|White|White
Black|Male|26.0|3.1|-1.53|NonWhite|Black
White|Female|36.0|3.6|-0.73|White|White
White|Male|42.0|3.3|-1.06|White|White
White|Male|39.0|3.1|0.48|White|White
White|Male|40.0|2.9|-0.26|White|White
White|Female|44.0|3.7|0.65|White|White
White|Male|39.0|3.6|-0.2|White|White
White|Male|40.0|3.1|0.62|White|White
White|Male|38.0|3.0|-0.56|White|White
White|Female|38.0|3.5|-0.41|White|White
White|Male|42.0|2.7|-0.91|White|White
White|Male|37.0|3.4|1.03|White|White
White|Female|38.0|2.9|0.41|White|White
White|Male|37.0|3.3|0.56|White|White
Black|Male|29.0|2.6|-1.34|NonWhite|Black
White|Female|39.0|3.7|1.11|White|White
White|Male|35.5|3.3|-0.68|White|White
White|Male|37.0|2.8|-0.54|White|White
White|Male|37.0|3.6|0.5|White|White
White|Male|37.0|3.3|1.22|White|White
White|Female|39.0|3.5|0.23|White|White
White|Male|36.0|3.5|-1.13|White|White
White|Male|40.0|3.0|-0.41|White|White
White|Female|36.0|3.2|-0.47|White|White
White|Female|38.0|3.7|-0.28|White|White
White|Female|38.0|3.3|-0.28|White|White
White|Male|35.0|3.8|1.24|White|White
White|Female|35.0|3.4|-0.09|White|White
White|Female|40.0|2.7|-0.96|White|White
White|Female|37.0|3.2|0.77|White|White
White|Male|43.0|3.2|-0.13|White|White
White|Male|41.0|3.8|1.32|White|White
White|Female|38.0|3.5|0.63|White|White
White|Female|32.0|3.6|-1.36|White|White
White|Male|40.0|3.4|-0.32|White|White
White|Male|41.0|3.1|1.08|White|White
White|Male|37.0|3.5|1.43|White|White
White|Female|38.0|3.8|1.19|White|White
Hispanic|Male|34.0|2.8|-1.26|NonWhite|Latino
White|Male|35.0|3.1|0.62|White|White
White|Female|39.0|3.6|-0.06|White|White
White|Female|37.0|3.4|0.12|White|White
White|Female|38.0|3.1|0.16|White|White
White|Female|39.0|3.1|-1.09|White|White
White|Female|48.0|2.9|1.79|White|White
White|Female|40.0|3.4|1.01|White|White
White|Male|33.0|3.5|0.86|White|White
White|Male|35.0|3.4|-0.42|White|White
White|Male|33.5|3.5|-0.35|White|White
White|Male|35.0|3.4|-0.2|White|White
White|Male|42.0|3.2|2.18|White|White
White|Female|35.0|3.5|0.76|White|White
White|Male|36.0|3.5|-0.1|White|White
Black|Female|33.0|2.5|-0.67|NonWhite|Black
White|Female|36.0|3.7|-0.52|White|White
White|Male|35.0|3.3|-0.26|White|White
White|Female|39.0|3.2|0.58|White|White
White|Female|42.0|3.0|0.4|White|White
White|Female|36.0|3.2|0.72|White|White
White|Male|37.0|3.3|0.44|White|White
White|Female|36.0|3.2|-1.34|White|White
White|Female|37.0|3.3|-0.6|White|White
White|Male|35.0|3.3|-0.85|White|White
White|Male|39.0|3.4|0.01|White|White
White|Female|38.0|3.0|0.83|White|White
White|Female|34.0|3.4|-0.78|White|White
White|Female|35.0|3.2|-0.74|White|White
White|Male|37.0|3.5|0.15|White|White
White|Male|40.0|3.0|1.75|White|White
White|Male|39.0|3.1|-0.1|White|White
White|Female|37.5|3.1|0.03|White|White
White|Male|42.0|3.4|2.04|White|White
White|Male|39.0|3.2|0.03|White|White
White|Female|37.0|3.3|-0.1|White|White
Asian|Male|32.0|3.4|-0.71|NonWhite|Asian
White|Male|38.0|3.4|1.72|White|White
White|Female|34.0|3.7|-0.8|White|White
Black|Male|32.0|2.5|-1.59|NonWhite|Black
White|Male|35.0|2.8|-1.1|White|White
White|Female|34.0|3.3|1.08|White|White
White|Male|40.0|2.4|1.35|White|White
White|Female|38.0|3.2|-0.3|White|White
Hispanic|Female|32.0|2.7|-0.44|NonWhite|Latino
White|Male|35.5|3.1|-0.61|White|White
White|Male|41.0|3.3|-0.65|White|White
White|Female|34.0|3.1|1.35|White|White
White|Female|41.0|3.6|-0.28|White|White
White|Male|42.0|2.7|-0.28|White|White
White|Male|36.0|2.9|0.56|White|White
White|Male|36.0|2.9|-0.28|White|White
White|Female|33.0|3.4|-0.33|White|White
White|Female|35.0|3.3|-0.43|White|White
White|Female|37.0|3.5|0.88|White|White
White|Male|36.0|2.8|-0.75|White|White
White|Female|38.0|3.4|0.35|White|White
White|Female|38.0|3.6|0.19|White|White
White|Female|34.0|3.5|0.19|White|White
White|Female|35.0|3.5|0.46|White|White
White|Female|34.0|3.1|-0.01|White|White
White|Female|35.0|3.4|0.83|White|White
White|Male|37.0|3.8|0.88|White|White
White|Male|38.0|3.7|0.35|White|White
White|Female|40.0|3.0|-0.38|White|White
Black|Male|33.0|2.8|-0.06|NonWhite|Black
White|Female|38.0|2.9|0.19|White|White
White|Female|37.0|3.5|1.66|White|White
White|Male|37.0|3.2|-0.67|White|White
Other|Male|39.5|3.7|-0.22|NonWhite|Other
White|Female|37.0|3.2|1.04|White|White
Black|Male|29.0|2.9|-0.98|NonWhite|Black
Black|Female|30.5|3.0|-1.33|NonWhite|Black
White|Female|37.0|2.9|0.3|White|White
White|Male|34.0|3.0|-0.86|White|White
White|Female|35.0|3.0|-0.49|White|White
White|Female|39.0|3.0|0.62|White|White
Black|Female|27.0|2.9|-0.71|NonWhite|Black
White|Female|31.0|3.1|-0.58|White|White
White|Male|39.0|2.8|-0.01|White|White
White|Female|40.0|2.5|0.87|White|White
White|Male|37.5|2.6|1.59|White|White
White|Male|28.0|3.2|0.36|White|White
Hispanic|Female|31.0|3.4|-0.7|NonWhite|Latino
White|Male|36.0|2.1|1.57|White|White
White|Female|30.0|3.4|0.89|White|White
White|Female|37.0|3.7|-0.91|White|White
White|Male|32.0|3.8|1.43|White|White
White|Male|44.0|2.7|1.34|White|White
White|Male|36.0|3.4|-0.11|White|White
White|Male|34.0|2.7|0.01|White|White
White|Female|40.0|3.3|1.16|White|White
White|Male|44.0|3.0|0.3|White|White
White|Male|39.0|3.2|0.36|White|White
White|Female|34.0|3.0|-0.83|White|White
White|Female|37.0|3.2|0.03|White|White
White|Male|26.0|3.5|-0.58|White|White
White|Male|39.0|3.1|-0.21|White|White
White|Male|36.0|3.4|1.59|White|White
White|Male|33.5|3.2|1.41|White|White
White|Female|39.0|2.9|0.51|White|White
Hispanic|Female|40.0|3.7|-0.46|NonWhite|Latino
White|Female|37.5|3.0|0.81|White|White
White|Female|40.0|2.9|-0.99|White|White
White|Female|44.0|3.6|-0.56|White|White
White|Male|36.0|3.3|-0.38|White|White
White|Male|34.0|2.8|-1.79|White|White
White|Female|33.0|3.8|1.06|White|White
White|Male|41.0|3.0|0.34|White|White
White|Female|48.0|3.3|-0.19|White|White
White|Female|29.0|2.8|-1.13|White|White
White|Female|29.0|3.1|-0.25|White|White
White|Male|29.0|2.9|-1.03|White|White
White|Male|38.5|3.0|-0.31|White|White
White|Female|41.0|2.7|-0.19|White|White
White|Male|35.0|3.4|0.51|White|White
White|Female|32.5|3.6|-0.58|White|White
White|Male|37.0|3.2|1.14|White|White
White|Female|36.0|3.2|0.51|White|White
White|Female|37.0|3.5|1.34|White|White
White|Female|38.0|3.8|1.65|White|White
White|Female|30.5|3.8|1.02|White|White
White|Male|37.0|3.7|-0.87|White|White
White|Male|39.0|3.0|-0.56|White|White
White|Male|33.0|3.7|0.67|White|White
White|Male|36.0|3.7|1.14|White|White
Asian|Female|47.0|3.3|1.18|NonWhite|Asian
Black|Male|30.0|2.8|-0.89|NonWhite|Black
White|Female|38.0|2.8|-0.66|White|White
White|Female|40.0|2.8|-0.41|White|White
White|Female|41.0|3.4|-0.38|White|White
White|Male|33.0|3.4|-0.46|White|White
White|Male|41.0|2.4|-1.09|White|White
White|Male|38.0|3.1|0.38|White|White
White|Female|39.0|2.8|-0.19|White|White
White|Male|40.5|2.5|-0.15|White|White
White|Male|35.0|2.8|-1.15|White|White
White|Male|32.5|2.7|-0.23|White|White
White|Male|34.0|2.8|-0.36|White|White
White|Male|33.0|3.0|-0.41|White|White
White|Male|31.0|2.6|-0.52|White|White
White|Male|39.0|2.1|1.65|White|White
White|Male|33.0|2.8|0.32|White|White
White|Female|35.0|2.2|-0.58|White|White
White|Male|36.0|2.9|-0.43|White|White
White|Male|37.0|2.1|-0.01|White|White
White|Male|33.0|2.7|0.57|White|White
White|Male|39.0|2.2|0.43|White|White
White|Male|34.0|2.7|1.19|White|White
Black|Female|24.7|2.6|-1.54|NonWhite|Black
White|Male|34.0|2.9|1.61|White|White
White|Female|38.0|3.6|0.68|White|White
White|Male|40.0|2.1|1.32|White|White
Black|Male|21.0|3.1|0.59|NonWhite|Black
White|Male|35.0|2.7|0.52|White|White
White|Male|37.0|2.3|-0.76|White|White
White|Male|37.0|3.3|1.25|White|White
Puertorican|Male|37.0|2.2|0.39|NonWhite|Latino
White|Male|30.0|2.7|-0.12|White|White
Hispanic|Female|35.0|2.7|-0.16|NonWhite|Latino
White|Female|33.0|2.7|-0.19|White|White
White|Male|33.0|3.0|0.06|White|White
White|Male|30.5|2.6|-1.03|White|White
White|Female|33.0|2.9|1.21|White|White
White|Female|29.0|3.1|-1.09|White|White
White|Female|33.0|3.1|0.66|White|White
White|Male|32.5|2.7|0.61|White|White
White|Male|34.0|2.9|-0.83|White|White
Other|Female|32.5|2.4|0.61|NonWhite|Other
White|Female|26.0|2.9|-1.03|White|White
White|Male|32.5|2.8|0.94|White|White
White|Female|37.0|2.7|0.77|White|White
White|Male|37.0|2.0|-1.63|White|White
White|Male|36.0|2.9|-0.16|White|White
White|Male|34.0|2.2|-0.14|White|White
White|Male|30.5|2.8|1.32|White|White
White|Male|26.5|2.9|-0.23|White|White
White|Female|34.0|2.8|-0.89|White|White
White|Male|35.0|2.8|-0.27|White|White
White|Female|35.0|2.7|0.12|White|White
Black|Female|25.0|2.7|-1.49|NonWhite|Black
White|Male|37.0|2.1|0.57|White|White
White|Male|35.0|2.8|1.14|White|White
White|Male|31.0|3.0|0.04|White|White
White|Male|36.0|2.8|0.68|White|White
White|Male|32.0|2.6|-0.7|White|White
White|Male|34.5|2.8|0.17|White|White
White|Female|32.5|3.1|0.15|White|White
White|Male|39.0|3.8|1.21|White|White
White|Male|44.0|2.3|2.65|White|White
White|Male|36.0|2.8|-0.36|White|White
White|Male|36.0|2.4|-0.5|White|White
White|Male|37.0|2.3|0.86|White|White
White|Male|37.0|2.9|-1.03|White|White
Puertorican|Male|25.0|2.8|-0.12|NonWhite|Latino
White|Female|30.3|2.7|0.3|White|White
White|Female|34.5|2.7|-0.76|White|White
White|Female|33.0|2.3|0.04|White|White
Mexican|Male|31.0|2.4|-0.45|NonWhite|Latino
White|Male|33.0|2.6|-0.43|White|White
White|Male|33.0|2.7|1.41|White|White
White|Female|34.0|2.6|-0.36|White|White
White|Male|33.0|2.9|0.97|White|White
White|Male|37.0|2.8|1.32|White|White
White|Male|38.0|2.5|0.74|White|White
White|Male|35.0|3.8|1.55|White|White
White|Male|36.0|3.9|-0.45|White|White
White|Male|40.0|3.7|0.02|White|White
White|Female|46.0|3.4|-0.64|White|White
White|Male|38.0|3.7|0.33|White|White
White|Male|30.7|3.5|-1.45|White|White
White|Male|40.0|2.9|0.6|White|White
Asian|Female|37.0|3.2|-0.47|NonWhite|Asian
Other|Male|34.0|3.1|-0.81|NonWhite|Other
White|Male|39.0|3.1|0.0|White|White
White|Female|38.0|2.9|0.03|White|White
White|Male|36.0|3.4|0.82|White|White
Asian|Male|41.0|2.9|-1.26|NonWhite|Asian
White|Male|41.0|2.6|0.09|White|White
White|Female|36.0|3.4|1.34|White|White
White|Male|46.0|3.1|2.03|White|White
Other|Female|40.0|2.9|-0.99|NonWhite|Other
White|Male|42.0|2.6|-2.01|White|White
White|Male|36.0|3.6|0.59|White|White
Puertorican|Male|44.0|2.8|-0.21|NonWhite|Latino
White|Female|40.0|2.9|-0.25|White|White
White|Female|34.0|3.6|-0.18|White|White
White|Female|42.0|3.8|0.05|White|White
Hispanic|Female|33.0|2.7|0.54|NonWhite|Latino
White|Female|39.0|3.6|0.4|White|White
White|Male|39.0|2.6|-0.59|White|White
White|Male|38.0|3.1|-0.98|White|White
White|Female|42.0|3.0|-0.42|White|White
Hispanic|Female|39.0|3.4|-0.37|NonWhite|Latino
Black|Female|31.5|2.6|-1.19|NonWhite|Black
Hispanic|Female|40.0|3.6|0.17|NonWhite|Latino
White|Male|37.0|3.5|1.86|White|White
White|Male|40.0|2.7|0.13|White|White
White|Female|39.0|3.0|-0.56|White|White
White|Female|42.0|3.5|0.53|White|White
White|Male|38.0|3.4|1.71|White|White
White|Female|33.0|3.3|1.27|White|White
White|Male|39.0|3.2|0.39|White|White
White|Female|39.0|3.6|-0.33|White|White
White|Male|38.0|3.1|0.72|White|White
White|Female|42.0|3.1|0.82|White|White
White|Female|39.0|3.6|-0.08|White|White
White|Female|38.0|3.5|0.97|White|White
Mexican|Female|36.0|2.7|0.71|NonWhite|Latino
White|Male|38.0|3.6|-0.19|White|White
White|Male|38.0|3.4|1.3|White|White
White|Male|40.0|3.1|1.26|White|White
Other|Male|43.0|3.0|1.51|NonWhite|Other
White|Male|36.5|3.4|0.87|White|White
White|Male|38.0|2.9|-0.95|White|White
White|Female|36.0|3.2|1.0|White|White
Black|Female|32.0|2.8|0.19|NonWhite|Black
White|Male|40.0|3.3|-1.11|White|White
White|Male|36.5|2.9|0.04|White|White
White|Female|42.0|3.8|1.56|White|White
White|Male|43.0|2.7|-0.39|White|White
White|Female|36.0|3.7|0.71|White|White
White|Female|35.0|3.2|1.05|White|White
White|Female|38.0|3.1|-0.81|White|White
White|Female|36.0|3.5|0.16|White|White
White|Female|38.0|3.3|1.77|White|White
White|Male|38.0|3.0|-0.09|White|White
White|Male|34.0|3.3|0.62|White|White
White|Male|39.0|3.6|1.66|White|White
White|Male|39.0|3.0|0.22|White|White
White|Male|43.0|3.1|1.15|White|White
White|Male|41.0|2.9|-0.39|White|White
White|Male|45.0|3.9|0.62|White|White
White|Female|37.0|3.1|0.54|White|White
White|Male|43.0|3.5|-1.06|White|White
White|Male|33.5|3.1|-1.0|White|White
White|Male|38.0|3.0|1.19|White|White
White|Male|37.0|3.3|-0.24|White|White
White|Female|36.0|3.2|0.39|White|White
White|Female|37.0|3.2|-1.21|White|White
Black|Female|24.0|3.6|0.01|NonWhite|Black
White|Female|37.0|3.4|-0.07|White|White
White|Female|34.0|3.8|-0.51|White|White
White|Female|37.0|3.2|0.39|White|White
White|Male|43.0|3.3|1.81|White|White
White|Male|41.0|3.0|-0.98|White|White
White|Female|37.0|3.3|-0.09|White|White
White|Male|43.0|2.9|1.89|White|White
White|Male|33.0|3.5|1.34|White|White
White|Male|43.0|3.7|1.68|White|White
White|Male|38.0|2.9|-0.73|White|White
White|Female|35.0|3.5|0.9|White|White
White|Female|36.0|2.9|-0.09|White|White
White|Female|39.0|3.4|1.0|White|White
White|Male|38.5|3.3|0.18|White|White
White|Male|35.0|3.6|0.54|White|White
White|Female|38.0|3.1|0.23|White|White
White|Male|37.0|3.1|-0.26|White|White
White|Female|31.0|3.9|0.88|White|White
White|Male|42.0|4.0|2.04|White|White
White|Female|34.0|3.8|-0.01|White|White
White|Female|38.0|3.5|1.45|White|White
White|Female|37.0|3.2|-0.73|White|White
White|Male|38.0|3.6|-0.77|White|White
White|Male|35.5|3.0|0.1|White|White
White|Female|29.0|3.0|-0.37|White|White
White|Female|40.0|3.9|1.03|White|White
White|Male|42.0|2.9|0.27|White|White
White|Female|44.0|3.3|0.71|White|White
White|Female|41.0|3.7|1.17|White|White
White|Male|36.0|3.1|0.94|White|White
White|Female|37.0|3.5|0.82|White|White
White|Male|44.0|3.7|0.81|White|White
White|Male|39.0|3.3|1.34|White|White
White|Male|36.0|3.0|0.58|White|White
White|Male|36.0|3.3|0.29|White|White
White|Female|39.0|3.0|-0.01|White|White
Black|Female|31.0|3.4|-0.58|NonWhite|Black
White|Male|39.0|3.3|1.03|White|White
White|Female|38.0|3.6|-0.51|White|White
White|Female|37.0|3.2|-1.15|White|White
White|Male|37.0|3.6|0.81|White|White
White|Male|38.0|3.0|-0.79|White|White
White|Female|37.0|3.2|-0.51|White|White
White|Male|43.0|2.5|-0.81|White|White
White|Female|40.0|2.4|-0.31|White|White
White|Female|38.0|3.2|1.92|White|White
