"LSAT"|"UGPA"|"female"|"male"|"white"|"nonwhite"|"U_UGPA"|"U_LSAT"
"4712"|34|3.2|1|0|1|0|-0.140547565131654|0.0203800106684033
"4713"|34|3.1|0|1|1|0|-0.094217255161049|-0.0335623747509933
"4715"|24|2.6|0|1|1|0|-0.452897282455876|0.0636591545901092
"4718"|29|3.9|0|1|1|0|0.602130351087051|0.0650686298623452
"4721"|33|3.2|0|1|1|0|-0.0372463881548044|-0.117089419038402
"4722"|36|3.5|0|1|1|0|0.172648476791709|-0.0290085851452051
"4723"|33|2.9|0|1|1|0|-0.265848892001996|-0.0403209261516996
"4724"|34|3.5|0|1|1|0|0.196024401383967|0.00415291924998882
"4725"|34|3.6|0|1|1|0|0.268110538680567|0.00950655726866109
"4726"|39|2.9|0|1|1|0|-0.221648115059096|-0.0320873067903675
"4727"|37|3.6|1|0|1|0|0.214225288399843|0.0850702227886902
"4730"|42|3.8|1|0|1|0|0.328995080767838|0.0443903631188759
"4732"|35|2.7|0|1|1|0|-0.341705444103491|0.0310346760815407
"4733"|40|3.5|1|0|1|0|0.168687807261552|0.0804233021201929
"4735"|31|3.5|1|0|1|0|0.135518510759728|-0.0152838913863344
"4738"|34|3.4|1|0|1|0|0.0299662285081284|-0.00437546661073464
"4739"|37|3.5|0|1|1|0|0.226717203765846|-0.0441308156689981
"4740"|42|3.4|0|1|1|0|0.0303622259288791|-0.095753482599195
"4741"|28|2.5|0|1|0|1|-0.387950811981274|-0.0406759610092343
"4742"|35|3.2|0|1|1|0|0.0482066494964552|-0.0373120312498042
"4745"|39|3.2|1|0|1|0|-0.1353273132973|0.0374726685624098
"4747"|38|3.1|1|0|1|0|-0.189546534826087|0.075703469961022
"4749"|40|2.9|1|0|1|0|-0.392622630319488|-0.000140924950892921
"4750"|39|3.4|1|0|1|0|-0.0162412863385863|-0.0411394436865585
"4753"|38|3.7|0|1|1|0|0.400663937548116|-0.0668313928012233
"4755"|44|3.7|0|1|1|0|0.384581247933227|0.0871811598663584
"4757"|37|3.4|0|1|1|0|0.147808543574598|-0.0114530994313075
"4758"|40|3.1|0|1|1|0|-0.0500062296598666|0.00466135181414687
"4762"|35|3.6|0|1|1|0|0.253518405604484|0.0272154495029154
"4764"|36|3|0|1|1|0|-0.174531022770654|-0.0137127337643106
"4767"|36|3.5|1|0|1|0|0.13821149010347|0.0586753754521575
"4768"|36|3.5|0|1|1|0|0.198304200310434|0.00151564529024938
"4770"|37|3.7|1|0|1|0|0.300343586756074|0.0681356151667729
"4771"|27|2.7|1|0|0|1|-0.354989369310087|-0.00605396005550286
"4773"|40|3.6|0|1|1|0|0.307433076826296|-0.0173575122020052
"4777"|37|3.3|0|1|1|0|0.0442802747777793|-0.00921476579011822
"4779"|40|3.6|0|1|1|0|0.248882387070362|-0.0252977518090972
"4780"|42|3.1|0|1|1|0|0.000496437447757873|0.197325438001068
"4781"|36|3.5|1|0|1|0|0.150612910043892|0.0766616547691431
"4784"|47|3.1|0|1|1|0|-0.100067302334126|0.0609575822116096
"4785"|36|3.8|1|0|1|0|0.35642337878208|-0.00405031508320576
"4787"|36|3.4|0|1|1|0|0.163181405184566|-0.0772072307525248
"4788"|36|3.5|1|0|1|0|0.129808489053196|0.0422135171905938
"4789"|40|3|0|1|1|0|-0.0639345606588439|0.047652992999112
"4790"|42|3.3|0|1|1|0|0.112282471314145|-0.0316236263954676
"4791"|35|2.9|0|1|1|0|-0.274361359841242|-0.0401026518376436
"4794"|43|3.1|0|1|1|0|-0.150713886052587|0.00945730058341568
"4795"|39|3.8|1|0|1|0|0.291111966412422|-0.0410784470446541
"4797"|27|2.5|1|0|0|1|-0.421562561444742|0.00919465737632824
"4798"|35|3.5|1|0|1|0|0.125164773585613|0.00887213418626465
"4799"|36|2.9|1|0|0|1|-0.201474503636905|-0.0284007528562633
"4800"|40|3|0|1|1|0|-0.112468932847203|0.0277559702675969
"4808"|37|2.3|1|0|1|0|-0.747362767973263|0.109840587049526
"4810"|36|3.5|0|1|1|0|0.183032159572498|0.0398242950373596
"4811"|32|3|1|0|0|1|-0.130764808900621|-0.00389891135478561
"4812"|35|3.9|1|0|1|0|0.407202422466703|0.0605843232758147
"4813"|33|3.2|0|1|1|0|-0.0218673393536234|-0.0485862892415696
"4814"|38|3.9|1|0|1|0|0.404180366846342|-0.0230341723263215
"4815"|39|3.2|1|0|1|0|-0.0990504603780945|-0.0673951673366304
"4816"|47|2.8|0|1|0|1|-0.144067950411547|-0.0324313654698528
"4820"|46|2.7|0|1|1|0|-0.358196951366597|0.0105102585924894
"4821"|37|3.2|0|1|1|0|0.122178628112489|0.021551012820502
"4823"|40|3.1|0|1|1|0|-0.110508117895048|0.0804999728872602
"4824"|39|3.8|0|1|1|0|0.479591290492677|0.00267482775093646
"4825"|35|3.5|0|1|1|0|0.185906102551835|0.0255566498593705
"4827"|34|3.3|0|1|1|0|0.0439821879659011|0.0127954575129092
"4830"|41|4|1|0|1|0|0.439592366120181|0.0228112572225778
"4834"|34|3.5|1|0|1|0|0.196423808047374|0.0483949898379513
"4835"|45|2.6|1|0|1|0|-0.476808438648363|-0.0487226456752096
"4836"|40|4|0|1|1|0|0.607518273465458|-0.100065149562284
"4837"|34|3.6|1|0|1|0|0.183991641198777|0.0170720885950513
"4838"|35|4|1|0|1|0|0.428941929298122|-0.114034807110311
"4839"|35|3.9|1|0|1|0|0.362664970761563|0.0293126183186108
"4841"|35|2.4|1|0|1|0|-0.700514835253167|-0.0281567583852455
"4845"|30|3.1|1|0|1|0|-0.142445856842884|0.0626422032604928
"4846"|36|3.4|0|1|1|0|0.201470070172276|0.0105140098496352
"4847"|34|2.5|0|1|0|1|-0.293436403475212|0.0808692536873058
"4849"|35|2.8|0|1|1|0|-0.251589090968316|0.000740832034548827
"4853"|34|2.9|0|1|0|1|-0.0164755106572517|0.00325226366501634
"4854"|30|3.1|1|0|1|0|-0.174685460497878|0.00469026207931631
"4855"|43|2|0|1|1|0|-0.867154766318956|-0.0486815718486102
"4856"|32|3|1|0|1|0|-0.201764258945994|-0.00532087738485911
"4857"|36|2.9|1|0|1|0|-0.3589910124675|0.0401306501218844
"4860"|30|3.2|1|0|1|0|-0.100863777284325|-0.0102832537630705
"4861"|35|2.8|0|1|1|0|-0.300415521536332|-0.0450921416407802
"4863"|34|2.7|1|0|1|0|-0.484737325566175|-0.0313488770905497
"4869"|42|2.3|0|1|1|0|-0.622415590101334|-0.0106943295925157
"4870"|33|2.9|0|1|1|0|-0.189016213236016|0.0306010933154805
"4872"|24|3.8|1|0|1|0|0.377080191708026|0.00461021332454074
"4874"|27|3.3|0|1|1|0|0.0203239635648318|-0.0314263194938812
"4879"|42|2.7|1|0|1|0|-0.459978413721278|-0.0652515413613744
"4880"|37|2.6|0|1|0|1|-0.297424381289687|0.0435631257849352
"4882"|34|2.5|1|0|1|0|-0.620596012562452|-0.0238820983496064
"4883"|35|2.7|0|1|1|0|-0.380194379624815|0.0253077913446994
"4884"|40|2.6|1|0|1|0|-0.539655480451024|-0.0733873770035676
"4885"|35|2.1|1|0|1|0|-0.902813186390788|0.00610953700419039
"4886"|35|2.8|0|1|1|0|-0.271013062786525|-0.0345575420590941
"4888"|36|2.4|0|1|0|1|-0.445209633031497|-0.0757478581856079
"4891"|43|2.4|1|0|1|0|-0.659031779865987|0.057874061582696
"4892"|35|3|1|0|1|0|-0.335244907798359|0.0992359160981994
"4893"|36|3.6|0|1|1|0|0.221339704211974|-0.0498418486966098
"4898"|29|2.9|0|1|0|1|-0.0313425062040708|-0.00528033862460366
"4899"|39|3.5|1|0|1|0|0.120890612386196|-0.0169871967396471
"4900"|22|2.9|1|0|0|1|-0.13947994217959|-0.012719980828846
"4902"|33|3.1|1|0|1|0|-0.191303752160678|-0.0322641670417333
"4907"|26|3.3|1|0|0|1|0.233465953023581|-0.164366871397319
"4908"|39|3.6|0|1|1|0|0.300524995022176|0.0129890578013974
"4909"|35|2.5|1|0|0|1|-0.450390387084402|-0.0147489773943231
"4912"|31|3.1|0|1|0|1|0.0754095952337481|-0.029524752638292
"4915"|26|3.2|0|1|0|1|0.243744612959677|0.000476049683915439
"4916"|29|3.5|0|1|1|0|0.208052060691666|0.0257977024682421
"4917"|33|2.9|0|1|1|0|-0.218403726652684|0.0422617313276823
"4918"|39|2.7|0|1|1|0|-0.317771038191591|-0.0374119986762892
"4922"|32|2.9|1|0|1|0|-0.365973470383179|0.0933430600263307
"4925"|34|3|1|0|1|0|-0.286427245229638|-0.0356838111310638
"4926"|33|2.7|1|0|1|0|-0.407518833268554|-0.013401559924997
"4928"|36|3.1|0|1|0|1|0.0116074322514156|0.126747624150728
"4932"|38|2.9|0|1|1|0|-0.212929821563992|0.0253251571974889
"4933"|37|2.5|0|1|1|0|-0.544845754980148|0.0213920102307875
"4935"|35|2.8|0|1|1|0|-0.210698036929851|-0.0532059165810398
"4937"|33|2.8|0|1|1|0|-0.274537094858755|0.0331538585444154
"4938"|39|2.8|1|0|0|1|-0.277872916835663|0.00259372902891359
"4940"|33|3.1|1|0|1|0|-0.151435608138131|0.0373566860135102
"4943"|37|2.5|0|1|1|0|-0.511441203738496|-0.0681759802104375
"4944"|31|3.1|0|1|1|0|-0.103663717246722|0.0757693871896293
"4946"|41|2.3|1|0|1|0|-0.697400033949373|-1.1736223958554e-05
"4947"|38|2.5|0|1|0|1|-0.312362416808349|0.0894301868444211
"4949"|34|2.6|1|0|0|1|-0.300979888459272|0.0076378802665041
"4951"|35|2.7|1|0|1|0|-0.523051785281172|-0.0613186706635493
"4954"|31|3.1|0|1|1|0|-0.084661420000382|-0.013877153034598
"4955"|33|2.8|1|0|0|1|-0.234068843133733|-0.00100578533759185
"4956"|38|2.6|0|1|0|1|-0.232453831306759|-0.0215565641509121
"4957"|34|2.6|1|0|1|0|-0.517081444166254|-0.0257271127527495
"4961"|37|2.7|0|1|1|0|-0.348486907257485|-0.0640552196269411
"4964"|37|2.5|0|1|1|0|-0.550525524830648|-0.0573397395304788
"4965"|32|2.6|0|1|1|0|-0.450799249870059|0.0457779592426175
"4966"|30|3.3|0|1|1|0|0.0672496043047171|0.0206776851213239
"4969"|30|2.6|0|1|1|0|-0.393156268736285|-0.0375242214384414
"4970"|34|3.1|1|0|1|0|-0.103480747114601|-0.0017089155957356
"4972"|39|2.6|1|0|1|0|-0.60388361638125|-0.0344365194541522
"4976"|33|2.7|0|1|1|0|-0.366792579426211|-0.0432715062910999
"4977"|34|3.2|0|1|1|0|0.0328306446225864|0.0528496813649855
"4978"|33|3|0|1|1|0|-0.110375150309895|0.0955149813898654
"4979"|33|2.4|1|0|1|0|-0.677969480628188|0.0349028640197209
"4981"|27|3.5|1|0|1|0|0.160408687673619|-0.000190489356248403
"4982"|35|2.7|0|1|1|0|-0.359273627940686|-0.0885005442243113
"4983"|24|2.4|0|1|0|1|-0.435855451169374|0.0387193440915884
"4992"|34|3.2|0|1|1|0|-0.0907355156077221|0.0285647605976072
"4994"|41|2.5|0|1|1|0|-0.550243538645446|-0.0132010675488706
"4995"|34|3.4|0|1|0|1|0.21923738870611|0.0529395061943078
"4997"|33|3.2|0|1|1|0|0.0462725405075912|0.0376565578910403
"5003"|31|2.4|0|1|1|0|-0.611600385198017|0.0179423668577115
"5004"|34|2.9|0|1|0|1|-0.058843034169397|0.000900026849746135
"5005"|35|3.2|0|1|1|0|-0.0267357375972794|0.0402514005274757
"5007"|31|2.6|1|0|1|0|-0.557330786085175|0.033352993917833
"5009"|26|3.3|1|0|0|1|0.157994528722343|0.0046813624376098
"5013"|35|3.1|1|0|1|0|-0.120603685569633|-0.0372949318853461
"5014"|39|2.5|1|0|1|0|-0.641767450417711|-0.00529843147293737
"5015"|36|2.7|0|1|1|0|-0.343993214046932|-0.00570456303206578
"5016"|34|2.1|0|1|1|0|-0.768698983109624|0.0183129960049569
"5017"|30|3.4|1|0|1|0|-0.0375650232126935|-0.0196416592121808
"5021"|32|2.6|0|1|1|0|-0.381464022747376|-0.0157936210887763
"5022"|37|2.5|0|1|1|0|-0.588314238297076|-0.00815221363699401
"5024"|36|2.7|1|0|1|0|-0.50571689095729|0.100215227431079
"5025"|33|2.7|0|1|1|0|-0.339475894839171|0.0477250156024093
"5027"|42|2.1|0|1|1|0|-0.858823036491667|0.0867336020939854
"5029"|32|2.6|0|1|1|0|-0.431991866772536|0.0438361795265753
"5037"|35|3.1|0|1|1|0|-0.0221427979980665|-0.0270020048550835
"5040"|31|3.3|1|0|1|0|0.00635506359867375|-0.0431206308438997
"5041"|34|3|0|1|1|0|-0.212448655151749|-0.00204648926451623
"5044"|37|1.7|0|1|1|0|-1.08649716039056|0.058270199706916
"5045"|36|2.6|0|1|1|0|-0.450141249305493|-0.0319718005516688
"5048"|37|2.9|0|1|1|0|-0.23320971389576|-0.0165682949730313
"5050"|32|2.8|1|0|1|0|-0.4296911250453|-0.035734585793272
"5054"|38|2.8|0|1|1|0|-0.20551880732184|0.0727707985727001
"5055"|32|4|1|0|1|0|0.492416898274475|-0.0170844049546397
"5057"|37|2.9|0|1|1|0|-0.218379616694215|0.0742141723259823
"5060"|24|2.9|1|0|1|0|-0.315677203405048|-0.00589680082719522
"5064"|34|2.9|0|1|1|0|-0.279704469533071|0.0732625525395662
"5065"|33|3.1|1|0|1|0|-0.176732379282701|-0.0357498419433835
"5067"|24|3.1|0|1|1|0|-0.139415382979045|0.0372500920259017
"5068"|37|2.8|0|1|1|0|-0.307045572501666|-0.0720055641162339
"5069"|32|3.2|0|1|1|0|0.070087332128155|-0.0729539649815818
"5071"|31|3.5|1|0|1|0|0.157167910991868|0.00345261471711583
"5072"|28|3.3|0|1|1|0|0.0517861988380332|-0.00477245121542067
"5073"|38|2.9|0|1|1|0|-0.149048637860056|0.0801061527327007
"5074"|33|3.2|0|1|1|0|0.0155221434831716|0.0904244060218678
"5075"|35|3.1|1|0|1|0|-0.156641007884743|-0.0198317442854931
"5077"|38|2.7|0|1|1|0|-0.395573669118329|-0.00977482788928338
"5078"|38|2.8|1|0|1|0|-0.344688832344654|-0.041700104146969
"5079"|28|2.6|0|1|1|0|-0.47333012538951|0.0398255841535491
"5080"|40|2.5|0|1|1|0|-0.598460978216428|-0.0614853482630674
"5082"|42|2.8|0|1|1|0|-0.27988773355503|0.0861080040822655
"5086"|32|3.2|1|0|1|0|-0.0907824713352769|-0.00635887320329124
"5087"|21|2.8|1|0|0|1|-0.214490164600767|-0.0463270158710182
"5089"|30|3.2|0|1|1|0|0.10103628253532|-0.0460863281494947
"5092"|32|3.1|0|1|1|0|-0.042545677756985|0.0671163485458849
"5094"|34|2.9|0|1|0|1|-0.0659355326903124|0.0100731371967178
"5097"|32|2.6|0|1|1|0|-0.431658652400243|-0.00419989624100675
"5101"|26|3.4|1|0|1|0|0.0701166836807403|-0.0422142158856072
"5106"|33|2.7|1|0|1|0|-0.448018005296247|0.0670483938434457
"5112"|34|3.1|1|0|1|0|-0.156740122456628|0.0368418563084229
"5113"|37|3|0|1|1|0|-0.123784786989133|-0.0574727210087194
"5115"|36|1.9|1|0|1|0|-1.03373019683491|0.0315829580815274
"5116"|34|3|0|1|1|0|-0.208321904674443|0.0338549750792765
"5117"|32|2.5|0|1|1|0|-0.50362868789831|-0.0449873022087065
"5118"|40|2.7|0|1|0|1|-0.219399587381318|0.0584843447789901
"5120"|31|2.6|0|1|1|0|-0.513371799196692|0.0186975326399373
"5122"|34|2.9|1|0|1|0|-0.310470392836049|-0.0541384056708889
"5125"|23|3.3|0|1|1|0|0.151379355941829|-0.0489870565772273
"5128"|24|2.7|1|0|1|0|-0.433941316706887|0.027794859709432
"5131"|39|2.6|1|0|1|0|-0.470880811542967|-0.0180820370843357
"5134"|32|3.3|0|1|0|1|0.169166880772614|-0.00332628634474484
"5135"|24|2.4|1|0|0|1|-0.512626127145829|-0.00694215352701376
"5137"|37|2.4|1|0|1|0|-0.686176144697341|-0.0813270063631421
"5141"|35|3.3|1|0|1|0|-0.0152356936872016|-0.052155174693026
"5143"|33|3.3|0|1|1|0|0.114355308149972|-0.0153624579455896
"5145"|35|3.4|0|1|1|0|0.182701048033952|-0.0320907110003378
"5146"|34|3.1|0|1|1|0|-0.0471997702840276|0.0573163486863627
"5147"|30|3.1|1|0|0|1|0.0317315813226078|0.0149201368146962
"5149"|26|3.4|1|0|1|0|0.0468435645000759|0.0165549577909735
"5150"|30|3.2|0|1|1|0|-0.0312059613446926|-0.032947762541934
"5153"|30|3.5|0|1|1|0|0.191835869724796|0.0373520493100859
"5154"|29|2.4|0|1|0|1|-0.402806992167704|-0.0125440863203048
"5155"|34|2.7|1|0|1|0|-0.454374473145959|0.0353480995918076
"5156"|32|3|1|0|1|0|-0.289864946339083|-0.0103160559068355
"5159"|37|2.9|0|1|1|0|-0.239550493141604|0.00625114931825566
"5162"|35|3.3|1|0|1|0|-0.0912894317409184|-0.0983599458343467
"5167"|34|3.3|1|0|1|0|0.0146157814298859|0.0559517285973546
"5169"|35|2.9|0|1|1|0|-0.23992301947579|-0.0485603577882579
"5172"|32|2.7|0|1|1|0|-0.347611713472374|0.0197250276325819
"5173"|34|2.1|0|1|1|0|-0.781309755159234|0.0158401491378931
"5174"|33|3|0|1|1|0|-0.13029295775859|0.016290802985959
"5175"|30|2.9|1|0|1|0|-0.330365739194577|-0.0513939290326668
"5176"|36|2.9|0|1|1|0|-0.304495741816518|0.017189785208249
"5178"|33|3.3|1|0|1|0|-0.0107192926794187|-0.0540304361183823
"5180"|33|3.2|1|0|1|0|-0.0950209418669758|-0.0247459469545748
"5181"|35|2.9|0|1|1|0|-0.210712774903632|-0.00507219910937431
"5183"|35|3.3|0|1|1|0|0.0382202258850661|0.00695151095613293
"5185"|30|3.1|0|1|1|0|0.0594451972199806|0.00999800226827862
"5187"|38|2.6|0|1|1|0|-0.471137732456265|0.000539856039322846
"5192"|32|3.5|0|1|1|0|0.286079927636314|-0.0360051780604215
"5193"|31|3|0|1|0|1|0.0561277904853894|0.0506784993828613
"5197"|24|3.3|1|0|0|1|0.119515958373313|0.000460509397049713
"5198"|20|2.5|1|0|0|1|-0.387124118438673|-0.0460695580184963
"5199"|36|2.7|0|1|1|0|-0.271862693274697|0.0499990724179355
"5204"|29|3.4|1|0|1|0|0.0784538522500384|-0.0242138272084551
"5206"|39|3|0|1|0|1|0.00922111478222013|-0.0259007849074316
"5208"|45|2.7|0|1|0|1|-0.188906185146736|-0.0336953404879529
"5209"|44|3.6|0|1|1|0|0.343290260241292|0.0443526200344054
"5210"|45|3.8|0|1|1|0|0.497793815307807|-0.050283412156654
"5212"|37|3.6|0|1|0|1|0.491641060772789|-0.0346024120464513
"5214"|43|3.1|0|1|1|0|-0.125133560412535|0.0307374265575304
"5216"|38|3.6|0|1|1|0|0.245119784424285|0.0215386473430492
"5219"|42|3.9|1|0|1|0|0.361412739310156|-0.0686775269451856
"5220"|41|3.8|1|0|1|0|0.315371190472177|-0.0437637958819431
"5222"|40|3.8|1|0|1|0|0.443224693185334|-0.0602002081660456
"5227"|41|3.8|1|0|1|0|0.356521046809046|-0.029885974027947
"5230"|32|3.3|1|0|0|1|0.207728618770691|-0.0274123734642239
"5231"|41|3.3|0|1|1|0|0.114666232655323|-0.00427116819775923
"5233"|35|3.4|1|0|0|1|0.196461538005029|-0.00267192746997053
"5234"|39|3.7|0|1|1|0|0.39301243104468|0.0454435879733057
"5236"|39|3.2|1|0|1|0|-0.077825309707701|-0.000273698715985029
"5238"|45|3.8|1|0|1|0|0.426930262035126|0.0260338440072284
"5241"|45|3.4|0|1|1|0|0.0829382276381858|-0.0866774968144508
"5242"|39|3.7|0|1|1|0|0.392198251188596|0.0534260107509661
"5245"|47|3.5|0|1|1|0|0.270063019007449|0.0130367238170349
"5251"|37|3.9|1|0|1|0|0.452115781963873|-0.0340613608037388
"5254"|42|3.9|0|1|1|0|0.471837276358634|0.00542698157186402
"5255"|47|3.4|0|1|1|0|0.164437756641527|-0.0870476248687869
"5256"|38|3.4|0|1|1|0|0.16962644885671|-0.0425596813754123
"5261"|46|3.3|0|1|1|0|0.0411928441874153|0.00381344127564017
"5263"|42|3.5|1|0|0|1|0.305989693410332|-0.0201481822112474
"5265"|43|3.9|1|0|1|0|0.429361333326591|0.0323484398555669
"5266"|41|3.5|1|0|1|0|0.206875849064943|-0.0561687803674204
"5267"|27|3.2|1|0|0|1|0.0728435914637286|-0.11801832706453
"5274"|38|3.5|0|1|1|0|0.248539675960622|0.0489508073297384
"5276"|39|3.1|1|0|0|1|-0.000386979944694853|-0.0668696648144527
"5277"|43|3.7|0|1|1|0|0.379383280155678|0.00684581444021958
"5279"|41|4|1|0|1|0|0.544674674294871|0.0300329062362635
"5285"|39|4|0|1|1|0|0.580632993775089|0.0263292006862617
"5287"|38|3.2|1|0|0|1|0.0375965204763709|0.122885971235389
"5288"|43|3.6|1|0|1|0|0.217418952691832|-0.0308943863943987
"5289"|44|3|0|1|1|0|-0.121417447781414|0.0472879796306095
"5290"|45|3.1|0|1|1|0|-0.0516336315821932|0.0127054194589368
"5291"|39|3.4|0|1|1|0|0.141694891553985|0.00708300817159082
"5293"|44|3.8|1|0|1|0|0.365230345258583|0.0892407570817979
"5299"|41|3.6|1|0|1|0|0.257696754413443|-0.0285069478412664
"5305"|44|3.8|0|1|1|0|0.444626767184572|0.0428901309739462
"5308"|44|3.3|0|1|1|0|0.0360141874149842|0.0173762577841475
"5312"|46|3.6|1|0|1|0|0.229159607994401|-0.0346955352330654
"5314"|37|2.9|0|1|0|1|-0.0394621302220932|-0.0212521875915943
"5315"|43|3.6|1|0|1|0|0.134416257889325|0.0519156163817297
"5316"|37|3.8|1|0|0|1|0.618403614648851|-0.0295368872685528
"5317"|41|3.7|1|0|1|0|0.245454351580353|0.0196289610485691
"5318"|39|3.3|1|0|0|1|0.0827758133744623|0.0322574243062796
"5323"|44|3.6|0|1|1|0|0.246402925249434|-0.109045300643535
"5327"|44|3.8|0|1|1|0|0.477640212599788|-0.000390687473648052
"5329"|38|3.4|0|1|1|0|0.152882780586222|0.0209538142384863
"5332"|47|3.7|1|0|1|0|0.262110619290848|0.051343811556864
"5335"|44|3.3|0|1|1|0|0.150662151796347|0.0933116666213321
"5337"|43|3.3|0|1|1|0|0.157825400281737|0.0308083695359214
"5338"|33|3.1|1|0|0|1|0.0316828405910962|0.0169223139407716
"5340"|36|2.9|1|0|1|0|-0.339463164538509|-0.0100448484166092
"5342"|43|3.5|0|1|1|0|0.2119076012152|-0.0356798042918814
"5343"|40|3|0|1|0|1|0.00101460200306652|-0.0231252568481677
"5345"|41|3.3|0|1|1|0|0.0463526640891143|-0.0406549874915272
"5351"|41|3.6|1|0|1|0|0.231974923104599|-0.0258067554870669
"5354"|40|3.9|0|1|0|1|0.645353307657443|-0.0330859258515549
"5355"|40|3.6|1|0|1|0|0.160822370613411|-0.0710051563191314
"5360"|43|3.5|1|0|1|0|0.0960235368807515|-0.00386118444684578
"5361"|39|3.8|1|0|1|0|0.339331012832659|-0.0583612621269122
"5363"|42|3.9|1|0|1|0|0.3932659066812|-0.0513508731795754
"5364"|43|3.5|1|0|0|1|0.246637560672491|-0.0647166962775009
"5365"|39|3.7|1|0|1|0|0.269200580969693|0.0745174897743284
"5367"|41|3.6|1|0|1|0|0.217902068429112|-0.0344222552056352
"5369"|33|3.8|1|0|0|1|0.544593301069176|-0.00259509695496207
"5370"|38|3.6|1|0|1|0|0.20655497390066|-0.0197417778262774
"5371"|48|3.4|1|0|1|0|0.00588060845093422|0.0409237582944845
"5374"|31|3.5|0|1|0|1|0.448459329410513|0.0341254754968038
"5376"|40|3.7|1|0|1|0|0.300495020316227|0.0173743331855535
"5379"|38|3.7|1|0|1|0|0.231922906045125|0.0186079931357596
"5382"|42|3.3|1|0|1|0|-0.0527481033545155|0.0325929286491908
"5386"|43|3.3|1|0|1|0|-0.108630511167905|0.0327850121856191
"5387"|41|3.4|0|1|1|0|0.170519240631789|-0.0458647703325514
"5388"|41|3.5|0|1|1|0|0.274394669914885|-0.0551891362122753
"5389"|38|3|1|0|0|1|-0.105924278888181|0.0670382364911162
"5392"|43|3.7|0|1|1|0|0.427857125497289|0.00899399204316639
"5394"|47|3.5|1|0|1|0|0.0918483637548274|0.0389482396485605
"5396"|45|3.6|0|1|1|0|0.295270309847863|-0.089754032404489
"5397"|40|3.7|0|1|0|1|0.506911067586922|-0.0737950110276645
"5398"|41|3.9|1|0|1|0|0.423998526816283|0.0379303660233361
"5400"|41|3|1|0|0|1|-0.201795418330974|-0.032289549266558
"5402"|36|3.4|1|0|0|1|0.207434188381576|0.0223471117869411
"5403"|40|3.5|0|1|1|0|0.286150030042003|0.0752630262117092
"5405"|44|3.5|0|1|1|0|0.252586760371567|0.0527494669192916
"5409"|36|3|0|1|0|1|0.0150816474605688|-0.106012068925386
"5412"|41|3.6|0|1|1|0|0.37201816553596|0.00260325373682277
"5416"|42|3.6|0|1|1|0|0.228314023006028|-0.0349557319424934
"5418"|46|3.7|0|1|1|0|0.35038139029539|-0.00115665956193163
"5420"|44|2.2|0|1|1|0|-0.712247743323948|0.0636913200671083
"5421"|45|3.3|1|0|1|0|-0.0286690932557771|0.0138641951644784
"5422"|39|3.4|0|1|1|0|0.090687594266529|-0.0285679909648104
"5423"|44|2.7|0|1|1|0|-0.309379741809686|0.0274960344421608
"5424"|45|3.6|1|0|1|0|0.119866800699348|0.0703847632147686
"5425"|39|3.9|0|1|1|0|0.613851221369972|-0.0263845438008083
"5427"|39|3.4|0|1|1|0|0.188391085833625|0.0434362908643543
"5430"|41|3.3|0|1|1|0|0.0760804194818649|-0.0204694825491855
"5433"|41|3|1|0|1|0|-0.262730592223135|0.0277235108230013
"5438"|42|3.5|0|1|1|0|0.27174579380365|0.0508670416000808
"5439"|38|3.8|0|1|1|0|0.47239444216068|-0.0422058663876275
"5443"|40|3.5|1|0|1|0|0.0859576645740611|0.0169217460633424
"5444"|40|3.7|1|0|1|0|0.256522645062976|-0.114585298158022
"5445"|44|3.1|0|1|1|0|-0.0776145138271791|0.0866810888737824
"5447"|42|2.6|0|1|1|0|-0.453691564163112|0.0590681425299261
"5449"|43|3.5|0|1|1|0|0.19111085664134|-0.0915017391218704
"5451"|44|3.6|0|1|1|0|0.244569025777683|-0.0444806837836186
"5452"|42|3.5|1|0|1|0|0.0233864901373327|-0.0969413600678528
"5453"|48|3.5|1|0|1|0|0.140295109374077|-0.00121422712770723
"5455"|46|3.6|0|1|1|0|0.277817782300378|0.048540553066227
"5457"|40|3.7|1|0|0|1|0.459554006806076|0.0396648921772926
"5459"|45|3.9|1|0|1|0|0.324809259539941|-0.0779902958569916
"5461"|44|3.5|0|1|1|0|0.212452815140006|-0.0585710384727073
"5463"|48|3.3|0|1|1|0|0.108082981675718|0.0238738744238908
"5465"|45|3.6|1|0|1|0|0.185129639235161|-0.0318764824851639
"5467"|42|3.3|1|0|1|0|-0.0268136506178196|0.023333132287066
"5468"|41|3.6|0|1|1|0|0.292733257685101|-0.00268919618298446
"5469"|44|3.6|1|0|1|0|0.133975440027006|-0.000891848644416998
"5470"|46|3.4|0|1|1|0|0.220187225352915|-0.0551108787893182
"5474"|35|3.5|0|1|1|0|0.153599315391053|-0.0872973531184265
"5475"|34|2.6|1|0|0|1|-0.42667813901845|-0.00842997422260815
"5476"|46|3.2|1|0|1|0|-0.0868391222141179|0.0073702812982841
"5477"|36|3|1|0|0|1|-0.0677722539944557|0.0288764967942557
"5480"|40|4|1|0|1|0|0.487959949732531|0.00794269629181944
"5481"|46|3|0|1|1|0|-0.13824413847338|0.0483552208718205
"5482"|46|3.7|1|0|1|0|0.239472305292891|0.0177355940878813
"5483"|42|3.7|1|0|1|0|0.305624481591315|-0.118735461011727
